corridor,corridor_trip_count,corridor_median_factor,corridor_mean_factor,corridor_pct_delayed,corridor_median_actual_time,corridor_median_osrm_time,corridor_median_dwell,corridor_main_route_type,is_reliable,estimated_sla_breaches
IND121004AAB_IND110037AAM,37,2.583333333,2.7303226303243244,1.0,65.0,25.0,30.0,Carting,1,37
IND000000ACT_IND131028AAB,39,1.6,1.6770362374871797,0.9487179487179487,88.0,56.0,104.0,Carting,1,37
IND382430AAB_IND380005AAA,36,1.9545454544999998,2.17609047275,1.0,42.0,23.0,69.0,Carting,1,36
IND811399AAA_IND110044AAB,36,2.7105263155,3.4439962977499996,1.0,44.5,16.0,172.0,Carting,1,36
IND410206AAB_IND000000AFT,36,2.3033088235,2.8084587490555553,1.0,40.0,17.0,63.0,Carting,1,36
IND209304AAA_IND000000ACB,35,1.960244648,2.0140657821714285,1.0,635.0,328.0,213.0,FTL,1,35
IND400015AAA_IND400072AAB,35,2.75,3.399775602657143,1.0,46.0,17.0,79.0,Carting,1,35
IND600056AAB_IND600044AAE,34,1.873015873,1.9512624710588236,1.0,65.5,35.0,116.5,Carting,1,34
IND121004AAB_IND000000ACB,34,1.790625,1.9945404184705884,1.0,116.5,65.0,25.5,Carting,1,34
IND110064AAA_IND000000ACB,39,1.294117647,1.4955576425897437,0.8717948717948718,63.0,52.0,60.0,Carting,1,34
IND382430AAB_IND380015AAB,34,2.333333333,2.5139879727352943,1.0,28.0,12.0,115.0,Carting,1,34
IND412105AAC_IND411017AAA,33,2.333333333,2.48785611530303,1.0,36.0,16.0,27.0,Carting,1,33
IND421302AAG_IND400102AAB,33,2.307692308,2.775848468151515,1.0,65.0,29.0,222.0,Carting,1,33
IND411036AAA_IND411033AAA,33,2.310344828,2.5852321547575756,1.0,66.0,29.0,138.0,Carting,1,33
IND110037AAM_IND110035AAC,36,2.071770335,2.5768221345000004,0.9166666666666666,41.0,20.0,104.0,Carting,1,33
IND382430AAB_IND382345AAA,33,2.125,2.1498903874545454,1.0,32.0,16.0,111.0,Carting,1,33
IND000000ACB_IND421302AAG,33,1.927385892,1.971868745848485,1.0,1858.0,963.0,256.0,FTL,1,33
IND411033AAA_IND411036AAA,32,1.75,1.9796281378125,1.0,48.0,28.0,156.0,Carting,1,32
IND501359AAE_IND500010AAB,32,2.1950317124999996,2.439536257125,1.0,92.0,41.5,218.0,Carting,1,32
IND000000ACK_IND501359AAF,32,3.195238095,3.4249930656250003,1.0,68.0,21.0,67.0,Carting,1,32
IND600056AAB_IND600008AAC,32,2.1588235295000002,2.36440445465625,1.0,72.0,32.0,112.5,Carting,1,32
IND560099AAB_IND560043AAC,37,1.607142857,1.9251890573243242,0.8378378378378378,48.0,30.0,84.0,Carting,1,31
IND000000ACB_IND121004AAB,31,1.738461538,1.817724645483871,1.0,113.0,65.0,73.0,Carting,1,31
IND421302AAG_IND400015AAB,31,2.2,2.480324810580645,1.0,67.0,30.0,210.0,Carting,1,31
IND560099AAB_IND560058AAB,38,1.670410783,1.8548093976052633,0.8157894736842105,63.5,36.0,80.0,Carting,1,31
IND401104AAA_IND400072AAB,30,2.78125,4.3301797386,1.0,44.5,16.0,63.5,Carting,1,30
IND712310AAE_IND712124AAA,30,3.5263157895,3.6921908307,1.0,64.0,19.0,51.5,Carting,1,30
IND380021AAA_IND382430AAB,30,2.8846153845,3.0733883246666664,1.0,36.0,12.5,54.0,Carting,1,30
IND382430AAB_IND395023AAA,30,1.851115709,1.8451354245333333,1.0,372.5,201.0,352.0,FTL,1,30
IND000000ACB_IND302014AAA,30,1.8794117645,1.880046304,1.0,319.5,169.0,209.0,FTL,1,30
IND421302AAG_IND562132AAA,30,1.857946273,1.8861215151333333,1.0,1321.0,709.0,253.0,FTL,1,30
IND131028AAB_IND160002AAC,30,1.7595419845,1.7873658736,1.0,230.5,130.0,150.0,FTL,1,30
IND462022AAA_IND462011AAA,30,2.3484848485,2.6347448847333337,1.0,28.0,12.0,43.5,Carting,1,30
IND560083AAB_IND562132AAA,31,1.659090909,2.0916147868064514,0.9354838709677419,72.0,43.0,97.0,Carting,1,29
IND421302AAG_IND400072AAA,29,2.434782609,2.730292708172414,1.0,52.0,22.0,198.0,Carting,1,29
IND560058AAB_IND560060AAB,44,1.352941176,1.4220557557954545,0.6590909090909091,22.5,16.5,19.5,Carting,1,29
IND600044AAE_IND600056AAB,29,2.028571429,2.1919187623448275,1.0,71.0,35.0,98.0,Carting,1,29
IND560058AAD_IND562132AAA,35,1.523809524,1.9082091540000001,0.8285714285714286,32.0,22.0,171.0,Carting,1,29
IND142001AAB_IND152026AAA,29,1.640625,1.6587070621724138,1.0,102.0,62.0,42.0,FTL,1,29
IND000000ACB_IND501359AAE,29,1.909871245,1.9761146482758623,1.0,2229.0,1165.0,256.0,FTL,1,29
IND411033AAA_IND411021AAA,40,1.696153846,2.388317307775,0.725,20.5,12.0,55.5,Carting,1,29
IND712311AAA_IND700026AAC,29,2.466666667,2.803852204137931,1.0,85.0,36.0,70.0,Carting,1,29
IND110043AAA_IND110078AAA,33,1.636363636,1.801143486181818,0.8787878787878788,34.0,21.0,38.0,Carting,1,29
IND712311AAA_IND700088AAA,29,3.379310345,3.782209245862069,1.0,98.0,29.0,207.0,Carting,1,29
IND712311AAA_IND700065AAA,29,3.272727273,3.4218802936551724,1.0,69.0,22.0,65.0,Carting,1,29
IND160002AAC_IND000000ACA,28,2.0,1.9618664188928572,1.0,125.5,62.0,153.5,FTL,1,28
IND400102AAC_IND421302AAG,28,2.6947916665,3.1048859419285715,1.0,72.0,28.5,96.5,Carting,1,28
IND600056AAB_IND600110AAA,28,2.594594595,2.7242201385,1.0,95.0,36.5,143.5,Carting,1,28
IND121002AAB_IND000000ACB,28,2.0703125,2.223755997535714,1.0,132.5,65.0,78.5,Carting,1,28
IND462001AAA_IND462022AAA,28,3.5993589740000003,4.177377979071428,1.0,45.5,13.0,33.0,Carting,1,28
IND160102AAC_IND160002AAC,28,2.070261438,2.0694080745714287,1.0,70.5,34.0,104.5,Carting,1,28
IND411033AAA_IND413002AAA,27,1.773584906,1.7798105491111111,1.0,375.0,212.0,128.0,FTL,1,27
IND110044AAB_IND110030AAD,30,1.5669642855,1.720263024,0.9,23.0,15.0,52.0,Carting,1,27
IND201301AAM_IND000000ACB,27,1.922077922,1.9668510624444446,1.0,148.0,73.0,183.0,Carting,1,27
IND380006AAB_IND382430AAB,27,3.583333333,3.8313513646296293,1.0,43.0,12.0,20.0,Carting,1,27
IND395023AAD_IND395006AAA,27,1.846153846,1.993586351888889,1.0,25.0,13.0,44.0,Carting,1,27
IND421302AAR_IND421004AAA,27,3.272727273,3.417151572703704,1.0,34.0,11.0,64.0,Carting,1,27
IND712311AAA_IND751002AAB,27,1.884984026,2.1154854636666665,1.0,588.0,310.0,176.0,FTL,1,27
IND474003AAA_IND000000ACB,26,1.6188050500000002,1.6715262461923077,1.0,422.5,261.0,77.5,FTL,1,26
IND000000ACB_IND110030AAD,28,1.672684458,1.8896895461071428,0.9285714285714286,84.0,50.0,121.5,Carting,1,26
IND462022AAA_IND000000ACB,26,1.9131577860000002,1.9734659940384616,1.0,1113.0,584.0,146.0,FTL,1,26
IND421302AAG_IND000000ACB,26,1.9984520125,2.021214467846154,1.0,1935.5,968.0,220.0,FTL,1,26
IND121001AAA_IND121004AAB,27,1.833333333,2.332707416,0.9629629629629629,20.0,11.0,19.0,Carting,1,26
IND400701AAB_IND421302AAG,26,2.475,3.2702565408076927,1.0,49.5,20.0,133.0,Carting,1,26
IND560099AAB_IND560060AAB,31,1.375,1.5675405657419355,0.8064516129032258,44.0,33.0,76.0,Carting,1,25
IND160002AAC_IND160102AAC,25,1.764705882,1.8738964186000002,1.0,60.0,35.0,152.0,Carting,1,25
IND562132AAA_IND560078AAC,25,2.066666667,2.01927136332,1.0,62.0,31.0,63.0,Carting,1,25
IND462022AAA_IND209304AAA,25,2.110824742,2.11113186496,1.0,820.0,389.0,201.0,FTL,1,25
IND751002AAB_IND712311AAA,25,2.034055728,2.24791601492,1.0,657.0,322.0,138.0,FTL,1,25
IND110037AAM_IND202001AAB,26,1.7510569585,1.7772239538076922,0.9615384615384616,228.5,129.0,269.0,FTL,1,25
IND712124AAA_IND712103AAA,25,2.833333333,2.8876767675600004,1.0,30.0,11.0,25.0,Carting,1,25
IND620020AAA_IND621112AAA,25,1.769230769,1.86997985344,1.0,22.0,13.0,24.0,Carting,1,25
IND110037AAM_IND209304AAA,25,2.116766467,2.1813342791599997,1.0,707.0,335.0,291.0,FTL,1,25
IND562132AAA_IND560002AAA,25,2.846153846,2.68301067464,0.96,75.0,27.0,68.0,Carting,1,24
IND560099AAB_IND560078AAC,28,1.7863636365,1.8598168110357143,0.8571428571428571,39.5,22.0,71.0,Carting,1,24
IND560099AAB_IND560048AAB,34,1.515207373,1.826876904617647,0.7058823529411765,47.5,31.0,83.0,Carting,1,24
IND421302AAG_IND501359AAE,24,1.98654627,1.9794427690833334,1.0,1107.5,557.0,340.0,FTL,1,24
IND302014AAB_IND302004AAA,26,2.176470588,2.3084014676153846,0.9230769230769231,37.0,16.0,26.0,Carting,1,24
IND121004AAB_IND121001AAA,24,1.7333333335,1.7774356430833331,1.0,19.5,11.0,29.0,Carting,1,24
IND562132AAA_IND560060AAB,24,1.6410256410000001,1.823262997125,1.0,42.5,28.0,50.5,Carting,1,24
IND501359AAE_IND500080AAB,24,1.98,2.2671335862083333,1.0,45.0,23.0,114.5,Carting,1,24
IND380054AAA_IND382430AAB,24,2.363970588,2.489023877041667,1.0,39.0,17.0,25.5,Carting,1,24
IND530012AAA_IND532001AAB,24,1.7639660495,1.8200525680416666,1.0,142.5,82.0,60.5,Carting,1,24
IND160002AAC_IND140603AAA,29,1.24137931,1.3776983183103448,0.7931034482758621,36.0,29.0,72.0,Carting,1,23
IND144001AAB_IND000000ACA,23,2.358490566,2.3662374706086955,1.0,122.0,53.0,18.0,FTL,1,23
IND401104AAB_IND421302AAG,23,2.4,2.920884573347826,1.0,58.0,25.0,165.0,Carting,1,23
IND302014AAA_IND000000ACB,23,1.926829268,1.919702257826087,1.0,316.0,164.0,186.0,FTL,1,23
IND121004AAB_IND121004AAA,23,1.75,1.8579646802173913,1.0,22.0,12.0,39.0,Carting,1,23
IND712103AAA_IND712310AAE,23,3.066666667,3.287796453173913,1.0,92.0,30.0,35.0,Carting,1,23
IND400015AAB_IND421302AAG,23,3.172413793,3.628565746043478,1.0,92.0,32.0,100.0,Carting,1,23
IND000000ACB_IND000000AEL,23,1.770491803,2.1153225674782608,1.0,108.0,62.0,119.0,Carting,1,23
IND712311AAA_IND700028AAB,23,3.0,3.1680455729565216,1.0,47.0,18.0,69.0,Carting,1,23
IND110037AAM_IND110085AAB,22,2.0217391305000003,2.3958926144545454,1.0,47.5,24.0,166.5,Carting,1,22
IND585401AAA_IND502286AAB,22,2.392229155,2.3885736778636364,1.0,104.0,42.0,13.0,FTL,1,22
IND700065AAA_IND712311AAA,22,3.4821428570000004,3.559678368545455,1.0,67.0,21.0,157.0,Carting,1,22
IND700136AAG_IND712310AAA,22,4.1202380949999995,4.325712275363636,1.0,81.0,20.0,68.5,Carting,1,22
IND842001AAA_IND847212AAA,22,2.191780822,2.298031686772727,1.0,160.0,73.0,91.5,FTL,1,22
IND421302AAG_IND400701AAB,22,2.410526316,2.710312928409091,1.0,52.0,20.0,307.0,Carting,1,22
IND302014AAB_IND302006AAC,22,2.3333333334999997,2.7528250752727272,1.0,43.0,19.0,32.5,Carting,1,22
IND842001AAA_IND846004AAA,22,2.1900000000000004,2.355420713727273,1.0,109.0,50.0,119.5,FTL,1,22
IND000000ACB_IND411033AAA,22,1.7695691889999998,1.769067951409091,1.0,1785.5,1010.0,158.0,FTL,1,22
IND832109AAB_IND834002AAB,22,2.5058139534999997,2.7315569487727274,1.0,219.5,87.0,69.0,FTL,1,22
IND560300AAA_IND560058AAB,37,1.393939394,1.49219395,0.5945945945945946,48.0,34.0,49.0,Carting,1,22
IND401209AAA_IND401104AAA,22,2.0999999999999996,3.3515007064545457,1.0,38.5,16.5,89.5,Carting,1,22
IND845401AAA_IND845305AAA,22,2.5634920635,2.613151223681818,1.0,90.5,35.0,42.5,FTL,1,22
IND136118AAA_IND136128AAA,22,1.400132275,1.4114659923636363,1.0,38.0,27.5,31.5,FTL,1,22
IND136128AAA_IND136027AAA,22,2.0954545455,2.0881504726363636,1.0,42.0,20.0,17.5,FTL,1,22
IND532001AAB_IND530012AAA,22,2.0719305795,2.1700583283636363,1.0,173.0,84.0,136.0,Carting,1,22
IND000000ACB_IND110085AAB,24,1.5723776225,1.5743059379166666,0.9166666666666666,103.5,66.0,136.5,Carting,1,22
IND502286AAB_IND502220AAC,22,2.0501227495,2.086749695727273,1.0,99.0,49.0,16.5,FTL,1,22
IND600016AAB_IND600044AAC,22,2.0147058825,2.2949371679090906,1.0,67.5,33.0,42.5,Carting,1,22
IND600056AAB_IND600116AAB,22,2.1346153845,2.6025239193181817,1.0,55.5,27.0,78.5,Carting,1,22
IND000000ACB_IND110095AAB,36,1.8725016655,2.2197263249166665,0.5833333333333334,145.5,76.0,156.5,Carting,1,21
IND852139AAB_IND854326AAB,21,3.16,3.048784642714286,1.0,237.0,75.0,115.0,FTL,1,21
IND854326AAB_IND854311AAA,21,1.633333333,1.7661928949999999,1.0,49.0,30.0,217.0,FTL,1,21
