corridor,corridor_trip_count,corridor_median_factor,corridor_mean_factor,corridor_pct_delayed,corridor_median_actual_time,corridor_median_osrm_time,corridor_median_dwell,corridor_main_route_type,is_reliable
IND000000ACB_IND474003AAA,2,4.475174978,4.475174978,1.0,1134.5,253.0,236.5,FTL,0
IND000000ACB_IND501359AAE,29,1.909871245,1.9761146482758623,1.0,2229.0,1165.0,256.0,FTL,1
IND000000ACB_IND521225AAB,11,1.939937598,1.9414776089999999,1.0,2487.0,1282.0,367.0,FTL,1
IND000000ACB_IND562132AAA,66,1.8975475585,1.9196633846666666,1.0,2861.5,1509.0,193.0,FTL,1
IND000000ACB_IND600056AAB,14,1.860559006,1.9359991783571429,1.0,2995.5,1610.0,250.5,FTL,1
IND000000ACB_IND712311AAA,48,2.0236808085,2.129106941875,1.0,2052.5,1015.0,234.5,FTL,1
IND000000ACB_IND751002AAB,15,2.040308748,2.0654340825333333,1.0,2379.0,1167.0,154.0,FTL,1
IND000000ACB_IND821115AAB,18,2.0533625065,2.056823976777778,1.0,1326.5,646.0,183.0,FTL,1
IND000000ACB_IND834002AAB,16,1.8854289075000001,1.911549113375,1.0,1604.5,851.0,205.5,FTL,1
IND000000ACB_IND842001AAA,19,2.047425474,2.049812057105263,1.0,1509.0,737.0,187.0,FTL,1
IND000000ACK_IND501359AAF,32,3.2739130435000003,3.50215080371875,1.0,71.0,21.0,67.0,Carting,1
IND000000ACN_IND501359AAF,15,2.235294118,2.7287008370666666,1.0,38.0,18.0,55.0,Carting,1
IND000000ACT_IND000000ACB,100,1.3176274945,1.62528184074,0.71,55.0,42.0,150.0,FTL,1
IND000000ACT_IND131028AAB,39,1.6,1.6791198499487179,0.9487179487179487,88.0,56.0,104.0,Carting,1
IND000000ACT_IND160002AAC,21,2.037234043,2.0612249088571426,1.0,383.0,188.0,78.0,FTL,1
IND000000ADM_IND683511AAA,1,1.454545455,1.454545455,1.0,32.0,22.0,83.0,Carting,0
IND000000ADV_IND600044AAC,18,2.0533428165,2.1092386245555557,1.0,76.5,37.0,49.0,Carting,1
IND000000AEL_IND000000ACB,17,1.844827586,1.9792982602941176,1.0,108.0,58.0,161.0,Carting,1
IND000000AEM_IND110037AAB,11,1.948717949,2.398184587909091,1.0,76.0,40.0,212.0,Carting,1
IND000000AEM_IND110064AAB,11,1.964912281,1.910082541,1.0,112.0,55.0,140.0,Carting,1
IND000000AET_IND000000AAS,8,2.4646938775000002,2.39913801375,1.0,119.0,48.5,36.0,FTL,1
IND000000AFF_IND734203AAA,3,4.842105263,4.5964912280000005,1.0,92.0,19.0,24.0,FTL,0
IND000000AFG_IND673027AAB,1,1.826086957,1.826086957,1.0,84.0,46.0,23.0,FTL,0
IND000000AFG_IND673632AAA,3,2.354166667,2.163416076,1.0,113.0,48.0,5.0,FTL,0
IND000000AFJ_IND695121AAA,20,1.08,1.0938404559000001,0.15,28.5,26.0,40.5,Carting,1
IND000000AFJ_IND695572AAB,1,2.222222222,2.222222222,1.0,60.0,27.0,43.0,Carting,0
IND000000AFR_IND683511AAA,8,2.0615530305,2.25473094025,1.0,67.0,32.0,11.5,Carting,1
IND000000AFT_IND400072AAB,10,1.9736842105,1.9389035088,1.0,37.5,19.0,60.5,Carting,1
IND000000AFT_IND400701AAA,1,2.947368421,2.947368421,1.0,56.0,19.0,458.0,Carting,0
IND000000AFT_IND400706AAA,2,3.511111111,3.511111111,1.0,56.0,14.0,22.5,Carting,0
IND000000AFT_IND410206AAA,2,2.4083333335,2.4083333335,1.0,40.5,17.5,78.0,Carting,0
IND000000AFT_IND410206AAB,1,3.117647059,3.117647059,1.0,53.0,17.0,15.0,Carting,0
IND000000AFT_IND410209AAA,40,2.2761904765,2.312966485525,1.0,32.0,14.0,22.5,Carting,1
IND000000AFT_IND410210AAA,13,2.875,3.0963618365384615,1.0,46.0,16.0,31.0,Carting,1
IND000000AFT_IND421302AAG,14,2.380952381,2.9079754487142857,1.0,50.5,21.0,87.0,Carting,1
IND110014AAA_IND110024AAA,11,3.285714286,3.2796635184545453,1.0,29.0,11.0,40.0,Carting,1
IND110020AAB_IND110037AAM,3,2.739130435,3.236275801333333,1.0,63.0,23.0,474.0,Carting,0
IND110024AAA_IND110014AAA,9,1.714285714,2.0954585537777777,1.0,14.0,7.0,30.0,Carting,1
IND110030AAD_IND000000ACB,7,1.815789474,2.0980505312857143,1.0,78.0,47.0,133.0,Carting,1
IND110035AAC_IND110037AAM,3,1.666666667,1.7073099416666668,1.0,30.0,19.0,286.0,Carting,0
IND110037AAK_IND000000ACB,43,2.057142857,2.320333014465116,0.9767441860465116,72.0,37.0,191.0,Carting,1
IND110037AAM_IND000000ACB,12,1.5424418604999999,1.5790936776666669,1.0,66.5,43.0,261.5,FTL,1
IND110037AAM_IND110020AAB,9,3.461538462,3.507135995111111,1.0,90.0,25.0,134.0,Carting,1
IND110037AAM_IND110024AAA,14,2.667826087,2.6050517157142856,1.0,63.5,24.0,143.5,Carting,1
IND110037AAM_IND110035AAC,35,2.157894737,2.6433566895714287,0.9142857142857143,42.0,20.0,102.0,Carting,1
IND110037AAM_IND110064AAA,1,2.1875,2.1875,1.0,35.0,16.0,187.0,Carting,0
IND110037AAM_IND110085AAB,22,2.0217391305000003,2.433527023090909,1.0,47.5,24.0,166.5,Carting,1
IND110037AAM_IND110092AAC,1,2.193548387,2.193548387,1.0,68.0,31.0,143.0,Carting,0
IND110037AAM_IND121004AAB,46,2.008387097,2.462311646043478,1.0,51.5,27.0,62.0,Carting,1
IND110037AAM_IND125001AAA,1,4.015037594,4.015037594,1.0,534.0,133.0,306.0,FTL,0
IND110037AAM_IND131028AAB,1,2.210526316,2.210526316,1.0,126.0,57.0,189.0,Carting,0
IND110037AAM_IND201001AAC,8,2.06122449,2.06470275075,0.875,101.0,49.0,73.5,Carting,1
IND110037AAM_IND201007AAA,6,2.4920168069999997,2.5746000203333335,1.0,88.0,34.5,160.0,Carting,1
IND110037AAM_IND201301AAD,3,4.567567568,4.107593307666667,1.0,169.0,37.0,88.0,Carting,0
IND110037AAM_IND201301AAF,5,2.153846154,2.1389914748,1.0,84.0,39.0,152.0,Carting,1
IND110037AAM_IND202001AAB,26,1.7510569585,1.7772239538076922,0.9615384615384616,228.5,129.0,269.0,FTL,1
IND110037AAM_IND209304AAA,25,2.116766467,2.1813342791599997,1.0,707.0,335.0,291.0,FTL,1
IND110037AAM_IND226004AAC,1,1.829333333,1.829333333,1.0,686.0,375.0,355.0,FTL,0
IND110037AAM_IND250002AAC,2,1.4419642855,1.4419642855,0.5,104.5,76.0,1553.0,FTL,0
IND110037AAM_IND282001AAA,4,2.040540541,2.420722809,1.0,302.0,149.0,168.5,FTL,0
IND110037AAM_IND282001AAC,1,2.105960265,2.105960265,1.0,318.0,151.0,141.0,FTL,0
IND110037AAM_IND282002AAD,1,1.966887417,1.966887417,1.0,297.0,151.0,258.0,FTL,0
